timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751089154043,1206,GET ALL SONG,200,,Test API nghe nhạc 1-105,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1206,0,107
1751089154704,548,GET ALL SONG,200,,Test API nghe nhạc 1-206,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,526,0,0
1751089153915,1342,GET ALL SONG,200,,Test API nghe nhạc 1-252,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1342,0,210
1751089154860,400,GET ALL SONG,200,,Test API nghe nhạc 1-8,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,399,0,0
1751089154649,611,GET ALL SONG,200,,Test API nghe nhạc 1-50,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,611,0,0
1751089153893,1368,GET ALL SONG,200,,Test API nghe nhạc 1-294,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1364,0,262
1751089154067,1194,GET ALL SONG,200,,Test API nghe nhạc 1-178,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1174,0,55
1751089153925,1349,GET ALL SONG,200,,Test API nghe nhạc 1-231,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1331,0,243
1751089153903,1372,GET ALL SONG,200,,Test API nghe nhạc 1-200,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1371,0,282
1751089153896,1379,GET ALL SONG,200,,Test API nghe nhạc 1-237,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1365,0,258
1751089154091,1194,GET ALL SONG,200,,Test API nghe nhạc 1-157,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1184,0,27
1751089154085,1207,GET ALL SONG,200,,Test API nghe nhạc 1-90,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1191,0,37
1751089154081,1213,GET ALL SONG,200,,Test API nghe nhạc 1-132,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1213,0,42
1751089154121,1173,GET ALL SONG,200,,Test API nghe nhạc 1-253,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1173,0,0
1751089154071,1225,GET ALL SONG,200,,Test API nghe nhạc 1-150,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1225,0,46
1751089154069,1231,GET ALL SONG,200,,Test API nghe nhạc 1-198,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1231,0,51
1751089153892,1419,GET ALL SONG,200,,Test API nghe nhạc 1-262,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1419,0,263
1751089154043,1270,GET ALL SONG,200,,Test API nghe nhạc 1-101,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1250,0,107
1751089154084,1230,GET ALL SONG,200,,Test API nghe nhạc 1-272,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1230,0,37
1751089154043,1273,GET ALL SONG,200,,Test API nghe nhạc 1-104,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1271,0,105
1751089154746,571,GET ALL SONG,200,,Test API nghe nhạc 1-124,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,571,0,0
1751089154075,1243,GET ALL SONG,200,,Test API nghe nhạc 1-113,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1243,0,49
1751089154042,1285,GET ALL SONG,200,,Test API nghe nhạc 1-173,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1254,0,111
1751089153921,1407,GET ALL SONG,200,,Test API nghe nhạc 1-248,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1407,0,201
1751089153905,1424,GET ALL SONG,200,,Test API nghe nhạc 1-12,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1421,0,277
1751089153922,1422,GET ALL SONG,200,,Test API nghe nhạc 1-77,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1415,0,201
1751089155239,108,GET ALL SONG,200,,Test API nghe nhạc 1-154,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,108,0,0
1751089154411,939,GET ALL SONG,200,,Test API nghe nhạc 1-279,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,938,0,0
1751089155262,89,GET ALL SONG,200,,Test API nghe nhạc 1-294,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,87,0,0
1751089153950,1405,GET ALL SONG,200,,Test API nghe nhạc 1-93,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1404,0,228
1751089154068,1292,GET ALL SONG,200,,Test API nghe nhạc 1-273,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1281,0,54
1751089153890,1473,GET ALL SONG,200,,Test API nghe nhạc 1-203,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1473,0,266
1751089154075,1294,GET ALL SONG,200,,Test API nghe nhạc 1-109,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1294,0,63
1751089155259,114,GET ALL SONG,200,,Test API nghe nhạc 1-252,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,111,0,0
1751089154488,888,GET ALL SONG,200,,Test API nghe nhạc 1-28,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,884,0,0
